"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверем что правильно получены ответы на вопросы","2203","test_question_and_answer[5]","tests","Sun Jun 01 12:38:26 MSK 2025","passed","Sun Jun 01 12:38:28 MSK 2025","TestMainPage","test_main_page","",""
"Проверяем что происходит переход по клику на тестовую страницу тренажера","1389","test_redirect_logo_scooter","tests","Sun Jun 01 12:38:56 MSK 2025","passed","Sun Jun 01 12:38:58 MSK 2025","TestRedirectToMainPage","test_redirect_page","",""
"Проверем что правильно получены ответы на вопросы","2984","test_question_and_answer[2]","tests","Sun Jun 01 12:38:11 MSK 2025","passed","Sun Jun 01 12:38:14 MSK 2025","TestMainPage","test_main_page","",""
"Проверем что правильно получены ответы на вопросы","2288","test_question_and_answer[1]","tests","Sun Jun 01 12:38:07 MSK 2025","passed","Sun Jun 01 12:38:10 MSK 2025","TestMainPage","test_main_page","",""
"Проверем что правильно получены ответы на вопросы","3274","test_question_and_answer[7]","tests","Sun Jun 01 12:38:34 MSK 2025","passed","Sun Jun 01 12:38:37 MSK 2025","TestMainPage","test_main_page","",""
"Проверем что правильно получены ответы на вопросы","2091","test_question_and_answer[6]","tests","Sun Jun 01 12:38:30 MSK 2025","passed","Sun Jun 01 12:38:32 MSK 2025","TestMainPage","test_main_page","",""
"Проверяем что заказы оформлены успешно по клику и на верхнюю и на нижнюю кнопки Заказать","5168","test_create_order[locator0-data0]","tests","Sun Jun 01 12:38:39 MSK 2025","passed","Sun Jun 01 12:38:44 MSK 2025","TestOrderPage","test_order_page","",""
"Проверем что правильно получены ответы на вопросы","2290","test_question_and_answer[0]","tests","Sun Jun 01 12:38:03 MSK 2025","passed","Sun Jun 01 12:38:05 MSK 2025","TestMainPage","test_main_page","",""
"Проверяем что происходит переход по клику на лого яндекса на главную страницу Дзена","4612","test_redirect_yandex_logo","tests","Sun Jun 01 12:39:00 MSK 2025","passed","Sun Jun 01 12:39:04 MSK 2025","TestRedirectPage","test_redirect_page","",""
"Проверяем что заказы оформлены успешно по клику и на верхнюю и на нижнюю кнопки Заказать","8278","test_create_order[locator1-data1]","tests","Sun Jun 01 12:38:46 MSK 2025","passed","Sun Jun 01 12:38:55 MSK 2025","TestOrderPage","test_order_page","",""
"Проверем что правильно получены ответы на вопросы","4134","test_question_and_answer[4]","tests","Sun Jun 01 12:38:20 MSK 2025","passed","Sun Jun 01 12:38:24 MSK 2025","TestMainPage","test_main_page","",""
"Проверем что правильно получены ответы на вопросы","2295","test_question_and_answer[3]","tests","Sun Jun 01 12:38:16 MSK 2025","passed","Sun Jun 01 12:38:18 MSK 2025","TestMainPage","test_main_page","",""
